id,tajik,farsi
0,"Эмомалӣ Раҳмон, раиси ҷумҳурии Тоҷикистон, бо ширкат дар маросиме ба сохтмони шаҳре ҷадид дар вилояти Суғд, дар шимоли ин кишвар, поя гузошта ва пешниҳод карда, ки ин шаҳр Сайҳун хонда шавад.","امامعلی رحمان ، رئیس جمهوری تاجیکستان ، با شرکت در مراسمی به ساختمان شهری جدید در ولایت سغد ، در شمال این کشور ، پایه گذاشته و پیشنهاد کرده که این شهر "" سیحون "" خوانده شود  ."
1,"Сайҳун номи арабӣ ва куҳантари Сирдарё, рӯдест, ки аз кӯҳистони Тиёншон сарчашма мегирад ва ба дарёчаи Хоразм ё Орол мерезад.", سیحون نام عربی و کهن تر سیردریا ، رودی است که از کوهستان تیانشان سرچشمه می‌گیرد و به دریاچه خوارزم یا آرال می‌ریزد  .
2," Ин рӯд аз васати шаҳри Хуҷанд, маркази устони Суғди Тоҷикистон, мегузарад.", این رود از وسط شهر خجند ، مرکز استان سغد تاجیکستان ، می‌گذرد  .
3,"Ба гуфтаи манобеъи расмӣ, шаҳри мудерни Сайҳун дар минтақаи мавсум ба Мирзоравот ва дашти Сомғор дар шаҳристони Бобоҷон Ғафуруф, дар нуҳкилуметрии шимол-ғарби шаҳри Хуҷанд, бунёд хоҳад шуд.", به گفته منابع رسمی ، شهر مدرن سیحون در منطقه موسوم به میرزاروات و دشت سامغار در شهرستان باباجان غفوراف ، در نه کیلومتری شمال غرب شهر خجند ، بنیاد خواهد شد  .
4,"Сойти риёсати ҷумҳурии Тоҷикистон дар ин бора менивисад: ""Бояд таъкид намуд, ки оғоз бахшидан ба сохтмони шаҳри нав дар солҳои истиқлоли давлатии Тоҷикистон бори нахуст сурат мегирад ва ин бозгӯй аз баромадани кишвар ба сатҳи сифатан нави рушди иқтисодӣ мебошад.", آقای رحمان چند روز است در چارچوب برنامه‌های نوروزی در شمال تاجیکستان به سر می‌برد و طی این مدت تاسیسات زیادی را مانند باغ کمال خجندی ، مجتمع قلعه خجند ، یک آمفی تئاتر و موسسات دیگری را افتتاح کرده است  .
5,"""Ин манбаъ меафзояд, ки ин ""тадбири калонмиқёс"" бо суфориши оқои Раҳмон ва дар чорчӯби ""сиёсати бунёдкорию созандагии"" давлати Тоҷикистон анҷом мешавад.",""" این منبع می‌فزاید که این "" تدبیر کلان مقیاس "" با سفارش آقای رحمان و در چارچوب "" سیاست بنیادکاری و سازندگی "" دولت تاجیکستان انجام می‌شود  ."
6," Тибқи нақша, қарор аст дар ин шаҳр беш аз 40 ҳазор хонавода ё беш аз 250 ҳазор нафар аз ҷамъияти шаҳри Хуҷанд ва навоҳии атрофи он сукунат гузинанд.", طبق نقشه ، قرار است در این شهر بیش از 40 هزار خانواده یا بیش از 250 هزار نفر از جمعیت شهر خجند و نواحی اطراف آن سکونت گزینند  .
7,"""Оқои Раҳмон хишти аввали нахустин биноҳои маскуниеро, ки аз 9 то 12 табақа хоҳанд буд, дар маҳалли бунёди шаҳри ҷадид гузоштааст.",""" آقای رحمان خشت اول نخستین بناهای مسکونی را که از 9 تا 12 طبقه خواهند‌بود ، در محل بنیاد شهر جدید گذاشته است  ."
8," Ин шаҳр аз 19 қасаба ё маҳалла иборат хоҳад буд ва дар он 17 мадраса, 31 кӯдакистон, 140 фурӯшгоҳу мағоза, 40 майдонча ва толори варзишӣ, як поёна (терминол)-и мусофирбарӣ, бозор ва дигар таъсисоти иҷтимоъӣ сохта мешаванд.", این شهر از 19 قصبه یا محله عبارت خواهد‌بود و در آن 17 مدرسه ، 31 کودکستان ، 140 فروشگاه و مغازه ، 40 میدانچه و تالار ورزشی ، یک پایانه ( ترمینال ) مسافربری ، بازار و دیگر تاسیسات اجتماعی ساخته می‌شوند  .
9,"Ба гуфтаи манобеъи расмӣ, ин мавзеъ дорои 14 ҳазор ҳектор замини бикр аст, ки дар чорчӯби тарҳи бунёди шаҳри ҷадид обёрӣ ва дар се ҳазор ҳектор аз он маҳаллоти маскунӣ сохта мешаванд.", به گفته منابع رسمی ، این موضع دارای 14 هزار هکتار زمین بکر است که در چارچوب طرح بنیاد شهر جدید آبیاری و در سه هزار هکتار از آن محلات مسکونی ساخته می‌شوند  .
10, Дар марҳилаи нахуст як ҳазор ҳектор аз ин заминҳо таҳти пӯшиш қарор хоҳанд гирифт., در مرحله نخست یک هزار هکتار از این زمینها تحت پوشش قرار خواهند گرفت  .
11,Барои обёрии ин заминҳо ду пойгоҳи обрасонӣ сохта ва сохтмони як пойгоҳи дигар дар назар гирифта шудааст., برای آبیاری این زمینها دو پایگاه آبرسانی ساخته و ساختمان یک پایگاه دیگر در نظر گرفته‌شده‌است  .
12,Қарор аст дар 1000 ҳектор аз заминҳои атрофи шаҳри Сайҳун боғҳои зардолую сияҳолу ва шафтолую бодом бунёд шаванд., آقای رحمان این دو پایگاه را افتتاح کرده و بار نخست آب را به زمینهای بکر جاری کرده است  .
13," Мақомҳои тоҷик мегӯянд, бунёди ин боғҳо, ки ба хотири сарфаҷӯии об ба шеваи қатраӣ шодоб мешаванд, барои содироти мева муҳим аст."," قرار است در 1000 هکتار از زمینهای اطراف شهر "" سیحون "" باغهای زردآلو ، سیه‌آلو و شفتالو و بادام بنیاد شوند  ."
14,"Ба гуфтаи онҳо, бунёди зербиноҳои ин шаҳри ҷадид панҷоҳ ҳазор шуғл барои бекорон фароҳам хоҳад сохт, ки ин амр ба коҳиши муҳоҷирати корӣ ба Русия кумак мекунад.", به گفته آن‌ها ، بنیاد زیربناهای این شهر جدید پنجاه هزار شغل برای بیکاران فراهم خواهد ساخت که این امر به کاهش مهاجرت کاری به روسیه کمک می‌کند  .
15, Мақомот иҷрои ин тарҳро барои таъмини амнияти ғизоӣ ва сарпаноҳ барои ҳазорҳо хонавода дар шимоли Тоҷикистон низ муассир арзёбӣ мекунанд., مقامات اجرای این طرح را برای تامین امنیت غذایی و سرپناه برای هزارها خانواده در شمال تاجیکستان نیز موثر ارزیابی می‌کنند  .
16,"""Ин нахустин тарҳи бунёди шаҳре ҷадид дар даврони истиқлоли Тоҷикистон аст.",""" این نخستین طرح بنیاد شهری جدید در دوران استقلال تاجیکستان است  ."
17," Ҳазинаи бунёди ин шаҳр эълом нашуда, вале мақомот мегӯянд, оғози ин тарҳ дар соли 2015, ки соли поёнии даҳаи байналмилалии ""Об барои ҳаёт"" аст, нумоде аз пешрафту ободонии ин кишвар маҳсуб мешавад."," هزینه بنیاد این شهر اعلام‌نشده‌، ولی مقامات می‌گویند که آغاز این طرح در سال 2015 که سال پایانی دهه بین‌المللی "" آب برای حیات "" است ، نمادی از پیشرفت و آبادانی این کشور محسوب می‌شود  ."
18,"Эмомалӣ Раҳмон нақши зиёиёни кишварро ба унвони “қувваи пешбарандаи ҷомеа” дар бақои арзишҳои миллӣ, забони давлатӣ ва давлатдории демукротику дунявӣ муҳим хонд.",امامعلی رحمان نقش ضیائیان کشور را به عنوان قوه پیشبرنده جامعه در بقای ارزشهای ملی ، زبان دولتی و دولتداری دموکراتیک و دنیوی مهم خواند  .
19,"Оқои Раҳмон дар ин бора гуфт: “Ин консепсия бояд ба бунёди ҷомеаи муосири демократӣ, ҳуқуқбунёд ва дунявӣ мусоидат намояд ва ояндаи рушди кишвари моро муайян гардонад.", آقای رحمان در این باره گفت : این کنسپسیون باید به بنیاد جامعه معاصر دموکراتی ، حقوقبنیاد و دنیوی مساعدت نماید و آینده رشد کشور ما را معین گرداند  .
20,”Президент Раҳмон ҳамзамон самтҳои аслии ин кунсепсиюнро ба зиёиён худ пешниҳод кард., پرزیدنت رحمان همزمان سمتهای اصلی این کنسپسیون را به ضیائیان خود پیشنهاد کرد  .
21,"Чунин ба назар мерасад, ки ҷилавгирӣ аз густариши мафкураи ифротгароёна, дар меҳвари даъвати раиси ҷумҳури кишвар аз зиёиён қарор дошт.", چنین به نظر می‌رسد که جلوگیری از گسترش مفکوره افراطگرایانه ، در محور دعوت رئیس جمهور کشور از ضیائیان قرار داشت  .
22,"Оқои Раҳмон ҳамчунин аз зиёиён хост то “барои рушди устувори ҷомеа ва таҳкими пояҳои давлатдории миллӣ пешниҳодҳои мушаххас ва таҳлилҳои саривақтӣ манзур намоянд, то мо барои пешгирӣ намудани ҳар гуна равандҳои носолим омода бошем ва ҳифзи манфиатҳои Тоҷикистони азизро таъмин гардонем.", آقای رحمان همچنین از ضیائیان خواست تا برای رشد استوار جامعه و تحکیم پایه‌های دولتداری ملی پیشنهادهای مشخص و تحلیلهای سروقتی منظور نمایند ، تا ما برای پیشگیری نمودن هر گونه روندهای ناسالم آماده باشیم و حفظ منفعتهای تاجیکستان عزیز را تامین گردانیم  .
23,"”Раиси ҷумҳури Тоҷикистон аз зиёиён ба хусус адибони тоҷик хостааст, ки ба таҳияи мақолаҳои публисистӣ даст зананд то “мардумро аз рӯйдодҳои кишвар, дастовардҳои диёри азизамон, масъалаҳои рӯз ва хатарҳои даҳшатбори замонаи ноором огоҳ созанд.", رئیس جمهور تاجیکستان از ضیائیان به خصوص ادیبان تاجیک خواسته است که به تهیه مقاله‌های تبلیغاتی دست زنند تا مردم را از رویدادهای کشور ، دستاوردهای دیار عزیزمان ، مسئله‌های روز و خطرهای دهشتبار زمانه ناآرام آگاه سازند  .
24," Инчунин, камбудиҳои ҳаёти ҷамъиятӣ, хусусан гаравидани ҷавонон ба ҷараёнҳои ифротӣ ва сабабҳои чунин тамоюли хатарнокро ошкор карда, оқибатҳои даҳшатбори онро ба оммаи васеъ фаҳмонед.", اینچنین ، کمبودیهای حیات جمعیتی ، خصوصا گرویدن جوانان به جریانهای افراطی و سببهای چنین تمایل خطرناک را آشکار کرده ، عاقبتهای دهشتبار آن را به عامه وسیع فهمانید  .
25,"Вазорати умури хориҷаи Омрико таъйид карда, ки давлати Борок Убомо дар бораи иттиҳоми тарҳи терури сафири Арабистон дар Вошингтун тавассути Эрон, ба таври мустақим бо мақомҳои Ҷумҳурии Исломӣ тамос барқарор кардааст.",وزارت امور خارجه آمریکا تایید کرده که دولت باراک اوباما درباره اتهام طرح ترور سفیر عربستان در واشنگتن توسط ایران ، به‌طور مستقیم با مقام‌های جمهوری اسلامی تماس برقرار کرده است  .
26,"Ин суханон дар ҳоле баён шуд, ки Борок Убомо, раиси ҷумҳурии Иёлоти Муттаҳида, эълом карда, ки мақомҳои Эронро масъули ин моҷаро медонад ва аз эҳтимоли дар назар гирифтани таҳримҳои шадидтаре алайҳи Теҳрон хабар додааст."," دولت ایران این اتهام را که نیروی قدس سپاه پاسداران قصد داشته است که عادل الجبیر ، سفیر عربستان سعودی در واشنگتن را در یک بمبگذاری ترور کند ، قویا رد و آنرا یک "" بازی کودکانه "" توصیف می‌کند  ."
27,"Вазорати хазонадории Омрико рӯзи чаҳоршанбе ширкати ҳавопаймоии ""Моҳонэйр""-ро ба иттиҳоми ҳамкорӣ бо нерӯи Қудси Сипоҳи посдорон таҳрим кард.", وزارت خزانه‌داری آمریکا روز چهارشنبه شرکت هواپیمایی ماهان ایر را به اتهام همکاری با نیروی قدس سپاه پاسداران تحریم کرد  .
28,"Шабакаи Си-би-эси Омрико ба нақл аз мақомҳои ин кишвар, ки хостаанд ношинос боқӣ бимонанд, гузориш медиҳад, ки Сӯзон Ройс, сафири Иёлоти Муттаҳида дар Созмони Милали Муттаҳид бо диплумотҳои эронӣ дар Ню-Йурк дидор кардааст.", شبکه سی بی‌اس آمریکا به نقل از مقام‌های این کشور که خواسته‌اند ناشناس باقی بمانند گزارش می‌دهد که سوزان رایس ، سفیر ایالات متحده در سازمان ملل متحد ، با دیپلمات‌های ایرانی در نیویورک دیدار کرده است  .
29,Мақомҳои эронӣ ҳанӯз ба ин гузориш вокуниш нишон надодаанд., مقام‌های ایرانی هنوز به این گزارش واکنش نشان نداده‌اند  .
30,Ҳушдори Борок УбомоРаиси ҷумҳурии Омрико панҷшанбе дар мавриди сиҳҳати иддаъои дахолати Эрон дар тавтеъаи терури сафири Арабистони Саъудӣ дар Вошингтун ибрози итминон кард., هشدار باراک اوبامارئیس جمهوری آمریکا پنجشنبه در مورد صحت ادعای دخالت ایران در توطئه ترور سفیر عربستان سعودی در واشنگتن ابراز اطمینان کرد  .
31,"Борок Убомо ваъда дод, ки таҳримҳои шадидтаре барои инзивои ҳарчи бештари мақомҳои эронӣ эъмол кунад.", باراک اوباما وعده داد که تحریم‌های شدیدتری برای انزوای هر چه بیشتر مقام‌های ایرانی اعمال کند  .
32,"Ӯ, ки дар як конфронси хабарӣ сӯҳбат мекард, гуфт, ки ҳеҷ гузинаеро дар бархӯрд бо Эрон канор нахоҳад гузошт.", او که در یک کنفرانس خبری صحبت می‌کرد گفت که هیچ گزینه‌ای را در برخورد با ایران کنار نخواهد گذاشت  .
