id,tajik,farsi
0,"Эмомалӣ Раҳмон, раиси ҷумҳурии Тоҷикистон, бо ширкат дар маросиме ба сохтмони шаҳре ҷадид дар вилояти Суғд, дар шимоли ин кишвар, поя гузошта ва пешниҳод карда, ки ин шаҳр Сайҳун хонда шавад","امامعلی رحمان ، رئیس جمهوری تاجیکستان ، با شرکت در مراسمی به ساختمان شهری جدید در ولایت سغد ، در شمال این کشور ، پایه گذاشته و پیشنهاد کرده که این شهر "" سیحون "" خوانده شود  ."
1,"Сайҳун номи арабӣ ва куҳантари Сирдарё, рӯдест, ки аз кӯҳистони Тиёншон сарчашма мегирад ва ба дарёчаи Хоразм ё Орол мерезад", سیحون نام عربی و کهن تر سیردریا ، رودی است که از کوهستان تیانشان سرچشمه می‌گیرد و به دریاچه خوارزم یا آرال می‌ریزد  .
2," Ин рӯд аз васати шаҳри Хуҷанд, маркази устони Суғди Тоҷикистон, мегузарад", این رود از وسط شهر خجند ، مرکز استان سغد تاجیکستان ، می‌گذرد  .
3,"Ба гуфтаи манобеъи расмӣ, шаҳри мудерни Сайҳун дар минтақаи мавсум ба Мирзоравот ва дашти Сомғор дар шаҳристони Бобоҷон Ғафуруф, дар нуҳкилуметрии шимол-ғарби шаҳри Хуҷанд, бунёд хоҳад шуд", به گفته منابع رسمی ، شهر مدرن سیحون در منطقه موسوم به میرزاروات و دشت سامغار در شهرستان باباجان غفوراف ، در نه کیلومتری شمال غرب شهر خجند ، بنیاد خواهد شد  .
4,"Сойти риёсати ҷумҳурии Тоҷикистон дар ин бора менивисад: ""Бояд таъкид намуд, ки оғоз бахшидан ба сохтмони шаҳри нав дар солҳои истиқлоли давлатии Тоҷикистон бори нахуст сурат мегирад ва ин бозгӯй аз баромадани кишвар ба сатҳи сифатан нави рушди иқтисодӣ мебошад", آقای رحمان چند روز است در چارچوب برنامه‌های نوروزی در شمال تاجیکستان به سر می‌برد و طی این مدت تاسیسات زیادی را مانند باغ کمال خجندی ، مجتمع قلعه خجند ، یک آمفی تئاتر و موسسات دیگری را افتتاح کرده است  .
5,"""Ин манбаъ меафзояд, ки ин ""тадбири калонмиқёс"" бо суфориши оқои Раҳмон ва дар чорчӯби ""сиёсати бунёдкорию созандагии"" давлати Тоҷикистон анҷом мешавад"," سایت ریاست جمهوری تاجیکستان در این باره می‌نویسد : "" باید تاکید نمود که آغاز بخشیدن به ساختمان شهر نو در سالهای استقلال دولتی تاجیکستان بار نخست صورت می‌گیرد و این بازگوی برآمدن کشور به سطح صفتا نو رشد اقتصادی می‌باشد  ."
6," Тибқи нақша, қарор аст дар ин шаҳр беш аз 40 ҳазор хонавода ё беш аз 250 ҳазор нафар аз ҷамъияти шаҳри Хуҷанд ва навоҳии атрофи он сукунат гузинанд",""" این منبع می‌فزاید که این "" تدبیر کلان مقیاس "" با سفارش آقای رحمان و در چارچوب "" سیاست بنیادکاری و سازندگی "" دولت تاجیکستان انجام می‌شود  ."
7,"Сойти риёсати ҷумҳурии Тоҷикистон дар бораи зарурати бунёди шаҳре ҷадид дар шимоли ин кишвар менивисад: ""Солҳои охир аҳолии шаҳру ноҳияҳои Хуҷанд, Бобоҷон Ғафуров, Ашт, Қайроққум, Чкалов ва Мастчоҳ хеле афзуда, шумораашон ба зиёда аз 700 ҳазор расидааст ва зарурати бунёди маҳаллаҳои нави аҳолинишн, аз ҷумла бо биноҳои бисёрошёнаи муъосир ба миён омадааст", طبق نقشه ، قرار است در این شهر بیش از 40 هزار خانواده یا بیش از 250 هزار نفر از جمعیت شهر خجند و نواحی اطراف آن سکونت گزینند  .
8,"""Оқои Раҳмон хишти аввали нахустин биноҳои маскуниеро, ки аз 9 то 12 табақа хоҳанд буд, дар маҳалли бунёди шаҳри ҷадид гузоштааст"," سایت ریاست جمهوری تاجیکستان در باره ضرورت بنیاد شهری جدید در شمال این کشور می‌نویسد : "" سالهای آخر اهالی شهر و ناحیه‌های خجند ، باباجان غفوراف ، اشت ، قیراققّم ، چکالف و مستچاه خیلی افزوده ، شماره‌اشان به زیاده از 700 هزار رسیده است و ضرورت بنیاد محله‌های نو اهالی‌نشین ( مسکونی )، از جمله با بناهای بسیارآشیانه ( برج ) معاصر به میان آمده است  ."
9," Ин шаҳр аз 19 қасаба ё маҳалла иборат хоҳад буд ва дар он 17 мадраса, 31 кӯдакистон, 140 фурӯшгоҳу мағоза, 40 майдонча ва толори варзишӣ, як поёна (терминол)-и мусофирбарӣ, бозор ва дигар таъсисоти иҷтимоъӣ сохта мешаванд",""" آقای رحمان خشت اول نخستین بناهای مسکونی را که از 9 تا 12 طبقه خواهند‌بود ، در محل بنیاد شهر جدید گذاشته است  ."
10,"Ба гуфтаи манобеъи расмӣ, ин мавзеъ дорои 14 ҳазор ҳектор замини бикр аст, ки дар чорчӯби тарҳи бунёди шаҳри ҷадид обёрӣ ва дар се ҳазор ҳектор аз он маҳаллоти маскунӣ сохта мешаванд", این شهر از 19 قصبه یا محله عبارت خواهد‌بود و در آن 17 مدرسه ، 31 کودکستان ، 140 فروشگاه و مغازه ، 40 میدانچه و تالار ورزشی ، یک پایانه ( ترمینال ) مسافربری ، بازار و دیگر تاسیسات اجتماعی ساخته می‌شوند  .
11, Дар марҳилаи нахуст як ҳазор ҳектор аз ин заминҳо таҳти пӯшиш қарор хоҳанд гирифт, به گفته منابع رسمی ، این موضع دارای 14 هزار هکتار زمین بکر است که در چارچوب طرح بنیاد شهر جدید آبیاری و در سه هزار هکتار از آن محلات مسکونی ساخته می‌شوند  .
12,Барои обёрии ин заминҳо ду пойгоҳи обрасонӣ сохта ва сохтмони як пойгоҳи дигар дар назар гирифта шудааст, در مرحله نخست یک هزار هکتار از این زمینها تحت پوشش قرار خواهند گرفت  .
13, Оқои Раҳмон ин ду пойгоҳро ифтитоҳ карда ва бори нахуст обро ба заминҳои бикр ҷорӣ кардааст, برای آبیاری این زمینها دو پایگاه آبرسانی ساخته و ساختمان یک پایگاه دیگر در نظر گرفته‌شده‌است  .
14,Қарор аст дар 1000 ҳектор аз заминҳои атрофи шаҳри Сайҳун боғҳои зардолую сияҳолу ва шафтолую бодом бунёд шаванд, آقای رحمان این دو پایگاه را افتتاح کرده و بار نخست آب را به زمینهای بکر جاری کرده است  .
15," Мақомҳои тоҷик мегӯянд, бунёди ин боғҳо, ки ба хотири сарфаҷӯии об ба шеваи қатраӣ шодоб мешаванд, барои содироти мева муҳим аст"," قرار است در 1000 هکتار از زمینهای اطراف شهر "" سیحون "" باغهای زردآلو ، سیه‌آلو و شفتالو و بادام بنیاد شوند  ."
16,"Ба гуфтаи онҳо, бунёди зербиноҳои ин шаҳри ҷадид панҷоҳ ҳазор шуғл барои бекорон фароҳам хоҳад сохт, ки ин амр ба коҳиши муҳоҷирати корӣ ба Русия кумак мекунад", مقامهای تاجیک می‌گویند که بنیاد این باغها که به خاطر صرفه‌جویی آب ، به شیوه قطره‌ای شاداب می‌شوند ، برای صادرات میوه مهم است  .
17, Мақомот иҷрои ин тарҳро барои таъмини амнияти ғизоӣ ва сарпаноҳ барои ҳазорҳо хонавода дар шимоли Тоҷикистон низ муассир арзёбӣ мекунанд, به گفته آن‌ها ، بنیاد زیربناهای این شهر جدید پنجاه هزار شغل برای بیکاران فراهم خواهد ساخت که این امر به کاهش مهاجرت کاری به روسیه کمک می‌کند  .
18,"Раиси ҷумҳурии Тоҷикистон зимни ифтитоҳи ин тарҳ аз бозаргонон ва сармоядорони маҳаллӣ хостааст, ки дар бунёди шаҳри ҷадид, боғу токзорҳои атрофи он ва таъсиси корхонаю муассисот дар он ҷо саҳм гузоранд ва ""ҳам худ манфиъат бардоранд ва ҳам барои дигарон ҷойҳои корӣ муҳайё созанд", مقامات اجرای این طرح را برای تامین امنیت غذایی و سرپناه برای هزارها خانواده در شمال تاجیکستان نیز موثر ارزیابی می‌کنند  .
19,"""Ин нахустин тарҳи бунёди шаҳре ҷадид дар даврони истиқлоли Тоҷикистон аст"," رئیس جمهوری تاجیکستان ضمن افتتاح این طرح از بازرگانان و سرمایه‌داران محلی در شمال تاجیکستان خواسته است که در بنیاد شهر جدید ، تاکزارها ( تاکستان‌ها ) و باغ‌های اطراف آن و تاسیس کارخانه و موسسات در آنجا سهم گذارند و "" هم خود منفعت بردارند و هم برای دیگران جای‌های کاری مهیا سازند  ."
20," Ҳазинаи бунёди ин шаҳр эълом нашуда, вале мақомот мегӯянд, оғози ин тарҳ дар соли 2015, ки соли поёнии даҳаи байналмилалии ""Об барои ҳаёт"" аст, нумоде аз пешрафту ободонии ин кишвар маҳсуб мешавад",""" این نخستین طرح بنیاد شهری جدید در دوران استقلال تاجیکستان است  ."
21,"Барномаи даҳаи ""Об барои ҳаёт"", ки аз ҳимояти Созмони Милали Муттаҳид бархурдор аст, бо пешниҳоди давлати Тоҷикистон ба иҷро расида ва тобистони имсол ҳамоише байналмилалӣ дар мавриди натиҷагирӣ аз он бо ширкати намояндагони беш аз 100 кишвар дар шаҳри Душанбе баргузор мешавад"," هزینه بنیاد این شهر اعلام‌نشده‌، ولی مقامات می‌گویند که آغاز این طرح در سال 2015 که سال پایانی دهه بین‌المللی "" آب برای حیات "" است ، نمادی از پیشرفت و آبادانی این کشور محسوب می‌شود  ."
22,"Эмомалӣ Раҳмон нақши зиёиёни кишварро ба унвони “қувваи пешбарандаи ҷомеа” дар бақои арзишҳои миллӣ, забони давлатӣ ва давлатдории демукротику дунявӣ муҳим хонд"," برنامه دهه "" آب برای حیات "" که از حمایت سازمان ملل متحد برخوردار است ، با پیشنهاد دولت تاجیکستان به اجرا رسیده و تابستان امسال همایشی بین‌المللی در مورد نتیجه‌گیری از آن با شرکت نمایندگان بیش از 100 کشور جهان در شهر دوشنبه ، پایتخت تاجیکستان ، برگزار می‌شود  ."
23,"Ӯ дар паёми худ унвонии зиёиёни кишвар дар робита ба ҷашни Наврӯз, онҳоро ба ташвиқи худогоҳиву худшиносӣ ва ойини мудоро даъват кардааст",امامعلی رحمان نقش ضیائیان کشور را به عنوان قوه پیشبرنده جامعه در بقای ارزشهای ملی ، زبان دولتی و دولتداری دموکراتیک و دنیوی مهم خواند  .
24,"Оқои Раҳмон дар суханрониаш аз ҷумла гуфт: “Ин қишри бонуфузи ҷомеа бояд минбаъд низ дар тавсеаи худогоҳиву худшиносӣ, тарғиби мафкураи миллӣ ва ғояҳои ватандӯстӣ, ҳифзи анъанаҳои фарҳангӣ ва пойдории забони давлатӣ ҳамчун бақои миллат нақши асосиро иҷро намояд ва ҳомии воқеии арзишҳои неки ин марзу бум бошад", او در پیام خود عنوانی ضیائیان کشور در رابطه به جشن نوروز ، آن‌ها را به تشویق خودآگاهی و خودشناسی و آیین مدارا دعوت کرده است  .
25,"”Раиси ҷумҳури Тоҷикистон дар ин суханронӣ гуфт, ки замони он фаро расидааст, ки олимону муҳаққиқон барои тавсеъаи мафкураи миллат пешниҳодҳои худро барои Консепсияи миллии рушди Тоҷикистон то соли 2050 ироа кунанд", آقای رحمان در سخنرانی‌اش از جمله گفت : این قشر بانفوذ جامعه باید بعدا نیز در توسعه خودآگاهی و خودشناسی ، ترغیب مفکوره ملی و غایه‌‌های وطن‌دوستی ، حفظ عنعنه‌های فرهنگی و پایداری زبان دولتی همچون بقای ملت نقش اساسی را اجرا نماید و حامی واقعی ارزشهای نیک این مرز و بوم باشد  .
26,"Оқои Раҳмон дар ин замина таъкид кард: “Дар чунин ҳолат вазифаи зиёиён аз он иборат мегардад, ки ҳангоми манзур кардани пешниҳодҳои худ ба ин консепсия принсипи дунявиятро афзал дониста, барои рушди тафаккури милливу дунявӣ ҷаҳду талош намоянд”", رئیس جمهور تاجیکستان در این سخنرانی گفت که زمان آن فرا رسیده است که عالمان و محققان برای توسعه مفکوره ملت پیشنهادهای خود را برای کنسپسیون ملی رشد تاجیکستان تا سال 2050 ارائه کنند  .
27,"Барои анҷоми ин кор раиси ҷумҳури Тоҷикистон дастур додааст, ки Фарҳангистони улуми Тоҷикистон ва Маркази пажуҳишҳои истротежик барои таҳияи як чунин кунсепсиюн як гурӯҳи кории вижаи иборат аз олимону донишмандон таъсис бидиҳанд ва лоиҳаи консепсиюнро ба давлат пешниҳод кунанд", آقای رحمان در این زمینه تاکید کرد : در چنین حالت وظیفه ضیائیان از آن عبارت می‌گردد که هنگام منظور کردن پیشنهادهای خود به این کنسپسیون اصل دنیویت را افضل دانسته ، برای رشد تفکر ملی و دنیوی جهد و تلاش نمایند  .
